starlink_gateway,latitude_deg,longitude_deg,portfolio,nearest_argus_km
"Dubuque, IA",42.4446,-90.6785,WorldPop + geopolitical constraint,521.3599887525429
"Duluth, MN",46.8281,-92.1304,Uniform baseline,639.3769969326343
"Duluth, MN",46.8281,-92.1304,WorldPop baseline,6722.426947196421
"Duluth, MN",46.8281,-92.1304,Uniform + geopolitical constraint,639.3769969326343
"Duluth, MN",46.8281,-92.1304,WorldPop + geopolitical constraint,820.79785855763
"Dumas, TX",35.8628,-101.9732,Uniform baseline,1581.0688922913876
"Dumas, TX",35.8628,-101.9732,WorldPop baseline,8158.702678625063
"Dumas, TX",35.8628,-101.9732,Uniform + geopolitical constraint,1581.0688922913876
"Dumas, TX",35.8628,-101.9732,WorldPop + geopolitical constraint,696.8859423091083
"Eagan, MN",44.8393,-93.1456,Uniform baseline,823.4536796773976
"Eagan, MN",44.8393,-93.1456,WorldPop baseline,6926.403041362525
"Eagan, MN",44.8393,-93.1456,Uniform + geopolitical constraint,823.4536796773976
"Eagan, MN",44.8393,-93.1456,WorldPop + geopolitical constraint,586.8036279110842
"Edison, NJ",40.5211,-74.3451,Uniform baseline,542.7610806470624
"Edison, NJ",40.5211,-74.3451,WorldPop baseline,5996.89211347457
"Edison, NJ",40.5211,-74.3451,Uniform + geopolitical constraint,1769.8863012571564
"Edison, NJ",40.5211,-74.3451,WorldPop + geopolitical constraint,410.0845126894443
El Marques,20.7351,-100.2836,Uniform baseline,3208.322027503536
El Marques,20.7351,-100.2836,WorldPop baseline,9207.19982665549
El Marques,20.7351,-100.2836,Uniform + geopolitical constraint,3208.322027503536
El Marques,20.7351,-100.2836,WorldPop + geopolitical constraint,453.9380493902648
"Elbert, CO",39.2239,-104.5347,Uniform baseline,1144.8340484583646
"Elbert, CO",39.2239,-104.5347,WorldPop baseline,8031.902541297157
"Elbert, CO",39.2239,-104.5347,Uniform + geopolitical constraint,1144.8340484583646
"Elbert, CO",39.2239,-104.5347,WorldPop + geopolitical constraint,735.8881867399411
"Elfordstown, Ireland",52.0833,-8.25,Uniform baseline,940.7342555590698
"Elfordstown, Ireland",52.0833,-8.25,WorldPop baseline,983.8797011424664
"Elfordstown, Ireland",52.0833,-8.25,Uniform + geopolitical constraint,940.7342555590698
"Elfordstown, Ireland",52.0833,-8.25,WorldPop + geopolitical constraint,983.8797011424664
"Evanston, WY",41.2683,-110.9632,Uniform baseline,752.9929534860642
"Evanston, WY",41.2683,-110.9632,WorldPop baseline,8213.35795590895
"Evanston, WY",41.2683,-110.9632,Uniform + geopolitical constraint,752.9929534860642
"Evanston, WY",41.2683,-110.9632,WorldPop + geopolitical constraint,752.9929534860642
"Fair Park, UT",40.7669,-111.9212,Uniform baseline,804.3082760994456
"Fair Park, UT",40.7669,-111.9212,WorldPop baseline,8307.208967333225
"Fair Park, UT",40.7669,-111.9212,Uniform + geopolitical constraint,804.3082760994456
"Fair Park, UT",40.7669,-111.9212,WorldPop + geopolitical constraint,804.3082760994456
"Fairbanks, AK",64.8378,-147.7164,Uniform baseline,1815.8505461693849
"Fairbanks, AK",64.8378,-147.7164,WorldPop baseline,6556.702832732347
"Fairbanks, AK",64.8378,-147.7164,Uniform + geopolitical constraint,1815.8505461693849
"Fairbanks, AK",64.8378,-147.7164,WorldPop + geopolitical constraint,2820.1435506773114
"Falda del Carmen, Argentina",-31.5333,-64.45,Uniform baseline,6749.838573908274
"Falda del Carmen, Argentina",-31.5333,-64.45,WorldPop baseline,7715.674862947352
"Falda del Carmen, Argentina",-31.5333,-64.45,Uniform + geopolitical constraint,4801.678177329243
"Falda del Carmen, Argentina",-31.5333,-64.45,WorldPop + geopolitical constraint,1482.221145918871
"Foggia, Italy",41.4621,15.5444,Uniform baseline,2256.7383124218877
"Foggia, Italy",41.4621,15.5444,WorldPop baseline,460.4026641864451
"Foggia, Italy",41.4621,15.5444,Uniform + geopolitical constraint,2256.7383124218877
"Foggia, Italy",41.4621,15.5444,WorldPop + geopolitical constraint,460.4026641864451
"Fort Lauderdale, FL",26.1224,-80.1373,Uniform baseline,1343.0301681690607
"Fort Lauderdale, FL",26.1224,-80.1373,WorldPop baseline,7155.666446832458
"Fort Lauderdale, FL",26.1224,-80.1373,Uniform + geopolitical constraint,2787.8965888688153
"Fort Lauderdale, FL",26.1224,-80.1373,WorldPop + geopolitical constraint,1758.0619636481956
"Franklin Park, IL",41.9288,-87.8574,Uniform baseline,1277.1795416664368
"Franklin Park, IL",41.9288,-87.8574,WorldPop baseline,6814.683614659571
"Franklin Park, IL",41.9288,-87.8574,Uniform + geopolitical constraint,1277.1795416664368
"Franklin Park, IL",41.9288,-87.8574,WorldPop + geopolitical constraint,716.2087181442837
"Frederick, MD",39.4143,-77.4105,Uniform baseline,608.6325013366275
"Frederick, MD",39.4143,-77.4105,WorldPop baseline,6284.693586109148
"Frederick, MD",39.4143,-77.4105,Uniform + geopolitical constraint,1854.0663760665705
"Frederick, MD",39.4143,-77.4105,WorldPop + geopolitical constraint,523.1536301668482
"Fremont, CA",37.4921,-121.9367,Uniform baseline,1419.9500331560057
"Fremont, CA",37.4921,-121.9367,WorldPop baseline,9107.97666974076
"Fremont, CA",37.4921,-121.9367,Uniform + geopolitical constraint,1419.9500331560057
"Fremont, CA",37.4921,-121.9367,WorldPop + geopolitical constraint,1419.9500331560057
"Ft. Lauderdale, FL",26.1911,-80.1934,Uniform baseline,1339.7277963357074
"Ft. Lauderdale, FL",26.1911,-80.1934,WorldPop baseline,7156.797416421208
"Ft. Lauderdale, FL",26.1911,-80.1934,Uniform + geopolitical constraint,2791.9899075700655
"Ft. Lauderdale, FL",26.1911,-80.1934,WorldPop + geopolitical constraint,1755.3568855740084
"Gaffney, SC",35.0718,-81.6498,Uniform baseline,878.8705196058654
"Gaffney, SC",35.0718,-81.6498,WorldPop baseline,6822.500532889568
"Gaffney, SC",35.0718,-81.6498,Uniform + geopolitical constraint,2200.3780706682937
"Gaffney, SC",35.0718,-81.6498,WorldPop + geopolitical constraint,1103.9994573124525
"Goodyear, AZ",33.4121,-112.4129,Uniform baseline,1622.467298112601
"Goodyear, AZ",33.4121,-112.4129,WorldPop baseline,8978.898585569244
"Goodyear, AZ",33.4121,-112.4129,Uniform + geopolitical constraint,1622.467298112601
"Goodyear, AZ",33.4121,-112.4129,WorldPop + geopolitical constraint,1622.467298112601
"Goonhilly, UK",50.0502,-5.1825,Uniform baseline,847.5618114462227
"Goonhilly, UK",50.0502,-5.1825,WorldPop baseline,706.7220031346206
"Goonhilly, UK",50.0502,-5.1825,Uniform + geopolitical constraint,847.5618114462227
"Goonhilly, UK",50.0502,-5.1825,WorldPop + geopolitical constraint,706.7220031346206
"Gordon, GA",32.8411,-83.2538,Uniform baseline,1089.588179979863
"Gordon, GA",32.8411,-83.2538,WorldPop baseline,7065.831015863389
"Gordon, GA",32.8411,-83.2538,Uniform + geopolitical constraint,2365.401488657007
"Gordon, GA",32.8411,-83.2538,WorldPop + geopolitical constraint,1388.5304204157703
"Grant District, WV",38.978,-79.1466,Uniform baseline,711.8983108546523
"Grant District, WV",38.978,-79.1466,WorldPop baseline,6441.549278383529
"Grant District, WV",38.978,-79.1466,Uniform + geopolitical constraint,1893.80917697368
"Grant District, WV",38.978,-79.1466,WorldPop + geopolitical constraint,616.7431871132305
"Greenville, PA",41.4028,-80.3812,Uniform baseline,942.53591180025
"Greenville, PA",41.4028,-80.3812,WorldPop baseline,6368.605353282687
